1-AMINO-PROPAN-2-OL	(<i>R</i>)-1-aminopropan-2-ol
CPD-15730	rhodomycinone D
CPD-15731	dTDP-L-daunosamine
CPD-15739	10-carboxy-3-deoxycarminomycin
CPD-15740	10-carboxy-13-deoxydaunorubicin
CPD-15744	devancosaminyl-vancomycin
CPD-15746	dTDP-&beta;-L-4-epi-vancosamine
CPD-15754	3,5,7,9,11,13,15,17,19-nonaoxohenicosanoyl-[acp]
CPD-15764	dTDP-&beta;-L-rhodosamine
CPD-15765	aclacinomycin S
CPD-15766	dTDP-L-rhodinose
CPD-15770	dTDP-2-deoxy-&beta;-L-fucose
CPD-15771	12-deoxyaklanoate
CPD-15780	maggiemycin
CPD-15781	sulfonopine
CPD-15783	4-<i>O</i>-methylrhodomycinone D
CPD-15785	15-demethoxy-aclacinomycin A
CPD-15787	15-demethoxy-&epsilon;-rhodomycinone
CPD-15797	<i>ditrans,octacis</i>-undecaprenyldiphospho-<i>N</i>-acetyl-(<i>N</i>-acetylglucosaminyl)muramate
CPD-158	4-nitrocatechol
CPD-15803	9-hydroxy-3,5,7,11,13,15,17,19-octaoxohenicosanoyl-[acp]
CPD-15826	<i>keto</i>-D-tagatose 6-phosphate
CPD-15830	2-sulfinoacetaldehyde
CPD-15848	(3<i>R</i>,4<i>R</i>)-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate
CPD-15873	<i>bis</i>(guanylyl molybdopterin) cofactor
CPD-15874	<i>bis</i>(molybdenum cofactor)
CPD-15887	3-hydroxytyrosol
CPD-15894	D-ribofuranose 2,5-bisphosphate
CPD-159	(<i>S</i>)-5-amino-3-oxohexanoate
CPD-15902	(<i>Z</i>)-N,N'-(but-2-ene-2,3-diyl)diacetamide
CPD-15903	<i>N</i>-(3-oxobutan-2-yl)acetamide
CPD-15904	<i>N</i>-(3-hydroxybutan-2-yl)acetamide
CPD-15916	6-mercaptopurine
CPD-15926	dTDP-6-deoxy-&alpha;-D-allose
CPD-15933	mycinamicin VIII
CPD-15934	protomycinolide IV
CPD-15936	tetracenomycin F2
CPD-15940	mycinamicin I
CPD-15943	demethyllactenocin
CPD-15944	5-<i>O</i>-&beta;-mycaminosyltylonolide
CPD-15945	20-oxo-5-<i>O</i>-&beta;-mycaminosyltylactone
CPD-15946	20-hydroxy-5-<i>O</i>-mycaminosyltylactone
CPD-15947	5-<i>O</i>-&beta;-mycaminosyltylactone
CPD-15948	tylactone
CPD-15961	FR-900098
CPD-15963	(R)-2-(phosphomethyl)malate
CPD-15967	CMP-5'-<i>N</i>-hydroxy-3-(aminopropyl)phosphonate
CPD-15968	CMP-5'-3-(<i>N</i>-acetyl-<i>N</i>-hydroxy)aminopropylphosphonate
CPD-15995	narbonolide
CPD-15996	novapikromycin
CPD-15997	neopikromycin
CPD-15998	novamethymycin
CPD-15999	dialurate
CPD-16	phloroglucinol
CPD-16183	N6-benzoyladenine
CPD-16423	dTDP-2,3,6-trideoxy-3-<i>C</i>-methyl-3-amino-4-dehydro-&alpha;-D-gulose
CPD-16424	dTDP-2,3,6-trideoxy-3-<i>C</i>-methyl-3-amino-4-dehydro-&alpha;-D-glucose
CPD-16436	dTDP-&beta;-L-vancosamine
CPD-16467	3-[(1-carboxyvinyl)oxy]benzoate
CPD-16491	2,6-diamino-4-hydroxy-5-(<i>N</i>-methyl)formamidopyrimidine
CPD-16501	6-deoxy-6-sulfo-D-fructose
CPD-16502	6-deoxy-6-sulfo-D-fructose 1-phosphate
CPD-16511	3-methyl-L-tyrosine
CPD-16512	3-hydroxy-5-methyl-L-tyrosine
CPD-16522	D-galactaro-1,4-lactone
CPD-16526	(2-amino-1-hydroxyethyl)phosphonate
CPD-16557	epilactose
CPD-16568	20&alpha;-hydroxycortisol
CPD-16577	&beta;-glucose 1,6-bisphosphate
CPD-16582	3-sulfinopropanoyl-CoA
CPD-16584	3-sulfinopropionate
CPD-16586	3,3'-disulfanediyldipropannoate
CPD-16588	4,4'-disulfanediyldibutanoate
CPD-16589	4-sulfanylbutanoate
CPD-16606	UDP-2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactose
CPD-16607	2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-16612	oryzalexin D
CPD-16613	oryzalexin B
CPD-16614	oryzalexin C
CPD-16632	diazepinomicin
CPD-16633	4,6,8-trihydroxydibenzodiazepinone
CPD-16637	elloramycin
CPD-16638	12-demethyl-elloramycin
CPD-16639	8-demethyl-8-(2,3-O-dimethyl-&alpha;-L-rhamnosyl)-tetracenomycin C
CPD-16644	tetracenomycin B3
CPD-16647	3,5-dioxo-6-[4,5,7-trihydroxy-3-(3-oxobutanoyl)naphthalen-2-yl]hexanoate
CPD-16663	2-<i>O</i>-sulfo-&alpha;,&alpha;-trehalose
CPD-16666	cyclooctatin
CPD-16667	cyclooctat-9-en-7-ol
CPD-16668	cyclooctat-9-en-5,7-diol
CPD-16677	tetracenomycin A2
CPD-16678	tetracenomycin E
CPD-16697	1,3,7-trimethyl-5-hydroxyisourate
CPD-16759	<i>N,O</i>-dimethylhydroxylamine
CPD-16760	linuron
CPD-16781	dihydrochelerythrine
CPD-16782	chelerythrine
CPD-16788	2-keto-4-hydroxy-5-phosphopentanoate
CPD-16790	<i>L</i>-2-amino-5-phosphono-3-<i>cis</i>-pentenoate
CPD-16791	rhizocticin A
CPD-16792	rhizocticin B
CPD-16793	2-keto-5-phospho-3-<i>cis</i>-pentenoate
CPD-16794	2-amino-4-hydroxy-5-phosphonopentanoate
CPD-16795	<i>L</i>-arginyl-4-hydroxy-5-phosphonopentanoate
CPD-16796	<i>L</i>-valyl-<i>L</i>-arginyl-4-hydroxy-5-phosphonopentanoate
CPD-16801	3,5,6-trichloro-2-pyridinol
CPD-16803	3,6-dihydroxypyridine-2,5-dione
CPD-16804	5-amino-2,4,5-trioxopentanoate
CPD-16843	4-pregnen-20,21-diol-3-one
CPD-16855	2-<i>O</i>-(&alpha;-D-glucopyranosyl)glycerol
CPD-16866	4-sulfoacetophenone
CPD-16867	4-sulfophenyl acetate
CPD-16868	4-sulfophenol
CPD-16873	(<i>R</i>)-mevalonate 3-phosphate
CPD-16883	&beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-16885	2-amino-2-deoxy-mannitol-6-phosphate
CPD-16886	2-amino-2-deoxy-D-mannitol
CPD-16887	(2<i>R</i>,3<i>R</i>,4<i>S</i>,5<i>S</i>)1,3,4,5-tetrahydroxy-6-oxohexan-2-aminium
CPD-16935	2-amino-3-hydroxycyclopent-2-enone
CPD-16937	5-aminolevulinyl-CoA
CPD-16939	2,4,6-octatrienoate
CPD-16941	2,4,6-octatrienyl-2-amino-3-hydroxycyclopent-2-enone
CPD-16942	4-oxopentanoate
CPD-16953	2-amino-6-[1-hydroxyethyl]-7-methyl-7,8-dihydropterin
CPD-16954	[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl diphosphate
CPD-16955	[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl-4-(&beta;-D-ribofuranosyl)aminobenzene 5'-phosphate
CPD-16964	4-(&beta;-D-ribofuranosyl)hydroxybenzene 5'-phosphate
CPD-16965	4-(&beta;-D-ribofuranosyl)-<i>N</i>-succinylaminobenzene 5'-phosphate
CPD-16992	prodigiosin
CPD-16993	norprodigiosin
CPD-16994	(<i>S</i>)-3-acetyloctanal
CPD-16995	(E)-non-3-en-2-one
CPD-16996	(<i>E</i>)-dec-3-en-2-one
CPD-16997	(<i>E</i>)-4-phenylbut-3-en-2-one
CPD-16998	2-hydroxychalcone
CPD-16999	(<i>S</i>)-3-pentanylhexane-2,5-dione
CPD-170	stachyose
CPD-17000	(<i>S</i>)-3-hexanylhexane-2,5-dione
CPD-17001	(<i>R</i>)-phenylhexane-2,5-dione
CPD-17002	(<i>R</i>)-1,3-diphenyl-pentane-1,4-dione
CPD-17003	3-(2-hydroxyphenyl)-1-phenylpentane-1,4-dione
CPD-17007	2-methyl-3-pentyl-1H-pyrrole
CPD-17008	2-methyl-3-pentyl-4,5-dihydro-3H-pyrrole
CPD-17011	4-hydroxy-2,2'-bipyrrole-5-methanol
CPD-17012	4-hydroxy-2,2'-bipyrrole-5-carbaldehyde
CPD-17013	4-methoxy-2,2'-bipyrrole-5-carbaldehyde
CPD-17017	D-<i>erythro</i>-D-<i>gluco</i>-octose &alpha;-1,8-bisphosphate
CPD-17018	D-<i>erythro</i>-D-<i>gluco</i>-octose &alpha;-1-phosphate
CPD-17024	pyoluteorin
CPD-17059	ferroheme <i>d</i><sub>1</sub>
CPD-17063	ferroheme <i>o</i>
CPD-17068	12,18-didecarboxysiroheme
CPD-17069	pre-heme <i>d</i><sub>1</sub>
CPD-17070	Fe-coproporphyrin III
CPD-17075	(-)-dehydrodiconiferyl alcohol
CPD-17076	(-)-dehydrodiconiferyl aldehyde
CPD-17077	(-)-dehydrodiconiferyl acid
CPD-17078	(-)-dehydrodiconiferyl acid aldehyde
CPD-17079	(-)-dehydrodiconiferyl acid carboxylate
CPD-17082	Fe<sup>3+</sup>-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine] complex
CPD-17084	(4<i>R</i>)-perillyl alcohol
CPD-17095	iminoarginine
CPD-17100	furan-2,5-dicarbaldehyde
CPD-17102	5-(dihydroxymethyl)furan-2-carbaldehyde
CPD-17103	5-(dihydroxymethyl)furan-2-carboxylate
CPD-17105	cob(III)alamin
CPD-17106	syringaldehyde
CPD-17129	3,6-anhydro-L-galactonate
CPD-17138	D-galactaro-1,5-lactone
CPD-17143	5-hydroxymethylcytidine 5'-phosphate
CPD-17157	L-galactono-1,5-lactone
CPD-17160	cytosyl-&beta;-D-glucuronate
CPD-17161	cytosyl-4'-dehydro-&beta;-D-glucuronate
CPD-17162	cytosyl-4'-amino-&beta;-D-glucuronate
CPD-17163	cytosinine
CPD-17165	L-leucyl-demethylarginomycin
CPD-17166	demethylarginomycin
CPD-17168	L-leucyl-blasticidin S
CPD-17169	L-leucyl-demethyl-blasticidin S
CPD-17170	demethylblasticidin S
CPD-17171	(3S)-&beta;-arginine
CPD-17175	D-proline betaine
CPD-17176	cytosyl-&alpha;-L-arabinopyranose
CPD-17179	&gamma;-glutamyltyramine
CPD-17180	[5-(aminomethyl)furan-3-yl]methyl diphosphate
CPD-17183	<i>trans</i>-4-hydroxy-L-proline betaine
CPD-17184	cis-4-hydroxy-D-proline betaine
CPD-17189	<i>Co</i>&alpha;-[&alpha;-(adenin-7-yl)]-<i>Co</i>&beta;-adenosylcobamide
CPD-17193	candicinolide
CPD-17205	GDP-3-dehydro-6-deoxy-&alpha;-D-mannose
CPD-17206	GDP-mycosamine
CPD-17207	demycosaminyl-candicidin III
CPD-17210	18-carboxy candicinolide
CPD-17212	nystatin A1
CPD-17222	(2R,3E)-phycocyanobilin
CPD-17223	(2R,3E)-phycoerythrobilin
CPD-17273	1-stearoyl-2-palmitoyl-<i>sn</i>-glycerol 3-phosphate
CPD-17275	7-oxolithocholate
CPD-173	salicyl alcohol
CPD-17301	1'-hydroxy-1',2'-dihydro-&beta;,&psi;-caroten-4'-one
CPD-17302	thiothece-474
CPD-17304	okenone
CPD-17309	myxocoxanthin
CPD-17319	1-stearoyl-2-oleoyl-<i>sn</i>-glycerol 3-phosphate
CPD-17406	GDP-6-deoxy-4-keto-D-<i>lyxo</i>-heptose
CPD-17407	GDP-6-deoxy-4-keto-D-<i>arabino</i>-heptose
CPD-17409	GDP-6-deoxy-D-<i>altro</i>-heptose
CPD-17411	GDP-6-deoxy-D-<i>manno</i>-heptose
CPD-17416	cyclo(L-phenylalanyl-L-tyrosyl)
CPD-17418	GDP-6-deoxy-4-keto-L-<i>xylo</i>-heptose
CPD-17419	GDP-6-deoxy-L-<i>gluco</i>-heptose
CPD-17488	3-aminotridec-2-en-4-one
CPD-17489	tridecane-3,4-dione
CPD-17490	(S)-3-aminotridecan-4-one
CPD-17492	(<i>R</i>)-2-hydroxy-4-methylpentanoate
CPD-17496	<i>p</i>-nitrophenyl-&alpha;-L-rhamnopyranoside
CPD-17498	demycosaminyl-nystatin
CPD-17499	decarboxy-demycosaminyl-nystatin
CPD-17500	decarboxy-dehydroxy-demycosaminyl-nystatin
CPD-17506	dTDP-&beta;-L-digitoxose
CPD-17508	bacilysin
CPD-17509	L-anticapsin
CPD-17510	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
CPD-17511	3-[(1E,4R)-4-hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
CPD-17519	mitomycin A
CPD-17520	6-demethylmitomycin A
CPD-17521	mitomycin B
CPD-17522	6-demethylmitomycin B
CPD-17530	&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A 1-diphosphate
CPD-17531	L-dihydroanticapsin
CPD-17536	3-[(2S,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate
CPD-17539	dapdiamide A
CPD-17540	dapdiamide B
CPD-17541	dapdiamide C
CPD-17551	3-[(2E,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate
CPD-17552	3-[(2Z,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate
CPD-17565	O-[5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate
CPD-17566	2,4,6-trinitrophenol
CPD-17567	O-[3-nitro-5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate
CPD-17568	2,4-dinitrocyclohexan-1-one
CPD-17570	O-[5-(hydroxynitroso)-3-(oxidonitroso)-2-oxocyclohexylidenenitroso]oxidanidolate
CPD-17572	O-[5-nitro-3-(oxidonitroso)-2-oxocyclohexylidenenitroso]oxidanidolate
CPD-17573	syringaldazine
CPD-17574	tetramethoxy azobismethylene quinine
CPD-1763	pentalenene
CPD-17635	(2<i>R</i>)-ethylmalonyl-CoA
CPD-17660	2-hydroxycanthaxanthin
CPD-17661	2,2'-dihydroxycanthaxanthin
CPD-17662	2-hydroxyadonixanthin
CPD-17663	2,3,2',3'-tetrahydroxy-&beta;,&beta;-caroten-4-one
CPD-17664	2,3,2',3'-tetrahydroxy-&beta;,&beta;-carotene-4,4'-dione
CPD-17665	2-hydroxyastaxanthin
CPD-17670	(2S,3R)-2,3-dihydroxy-5-oxohexanedioate
CPD-17674	4-hydroxybenzoate 1-phenylethylidene
CPD-17675	acetophenone hydrazone
CPD-17686	5-hexenoate
CPD-17696	&alpha;-tomatine
CPD-17697	tomatidine
CPD-17701	4-deoxy-2-<i>O</i>-sulfo-&beta;-L-<i>erythro</i>-hex-4-enopyranuronosyl-(1,4)-D-<i>N</i>-sulfoglucosamine 6-<i>O</i>-sulfate
CPD-17702	4-deoxy-&beta;-L-<i>erythro</i>-hex-4-enopyranuronosyl-(1,4)-D-<i>N</i>-sulfoglucosamine
CPD-17705	4-deoxy-L-<i>erythro</i>-hex-4-enopyranuronate
CPD-17706	an unsaturated pectate trisaccharide
CPD-17714	4-deoxy-&beta;-L-<i>erythro</i>-hex-4-enopyranuronosyl-(1,4)-D-<i>N</i>-sulfoglucosamine 6-<i>O</i>-sulfate
CPD-17751	4-deoxy-L-threo-hex-4-enopyranosiduronate-&alpha;-L-rhamnopyranose 3-sulfate
CPD-17752	5-nitro benzisoxazole
CPD-17753	2-cyano-4-nitrophenol
CPD-17755	4-deoxy-&beta;-D-gluc-4-enuronosyl-(1,4)-<i>N</i>-acetyl-D-galactosamine
CPD-17756	4-deoxy-&beta;-D-gluc-4-enuronosyl-(1,4)-<i>N</i>-acetyl--D-galactosamine 6-sulfate
CPD-17764	archaetidylglycerol phosphate
CPD-17766	saturated archaetidylglycerol
CPD-17782	4-(6-hydroxy-pyridin-3-yl)-4-oxobutanal
CPD-17820	tri-<i>trans</i>,hepta-<i>cis</i>-undecaprenyl phosphate
CPD-17858	&omega;-saturated C55 dolichol phosphate
CPD-17859	<i>N</i>-acetyl-&alpha;-D-glucosaminyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17860	2,3-diacetamido-2,3-dideoxy-&beta;-D-uronateglucosyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17862	6-(L-threonyl)-2-acetamido-2-deoxy-&beta;-uronatemannosyl-(1&rarr;4)-2,3-diacetamido-2,3-dideoxy-&beta;-D-uronateglucosyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17870	malonamoyl-CoA
CPD-17889	methyl-<i>O</i>-4-&beta;-D-glucuronosyl-(1&rarr;4)-&alpha;-D-galacturonosyl-(1&rarr;4)-&beta;-D-glucuronosyl-(1&rarr;4)-&beta;-D-glucosyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17890	&beta;-D-glucuronosyl-(1&rarr;4)-&alpha;-D-galacturonosyl-(1&rarr;4)-&beta;-D-glucuronosyl-(1&rarr;4)-&beta;-D-glucosyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17891	&beta;-D-glucuronosyl-(1&rarr;4)-&beta;-D-glucuronosyl-(1&rarr;4)-&beta;-D-glucosyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17892	&beta;-D-glucuronosyl-(1&rarr;4)-&beta;-D-glucosyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17893	&beta;-D-glucosyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17894	&beta;-D-mannosyl-(C55 &omega;-saturated dolichyl phosphate)
CPD-17940	holomycin
CPD-17947	a nascent peptidoglycan with L,D cross links (<i>meso</i>-diaminopimelate containing)
CPD-17948	holothin
CPD-17952	thiomarinol C
CPD-17968	a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimelate) tripeptide
CPD-17969	a nascent peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-glycine) tetrapeptide
CPD-17986	a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine) tetrapeptide
CPD-17989	a mature peptidoglycan<sub>(n)</sub> (<i>meso</i>-DAP containing)
CPD-180	1-amino-1-deoxy-<i>scyllo</i>-inositol 4-phosphate
CPD-18004	bacterioruberin
CPD-18005	dihydroisopentenyldehydrorhodopin
CPD-18006	isopentenyldehydrorhodopin
CPD-18007	dihydrobisanhydrobacterioruberin
CPD-18008	bisanhydrobacterioruberin
CPD-18011	2-<i>O</i>-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol 3-phosphate
CPD-18012	thymine glycol
CPD-18029	4O,5-dimethyl,3-hydroxy L-tyrosine
CPD-18030	presaframycin
CPD-18046	kanamycin A 2''-phosphate
CPD-18047	kanamycin B 2''-phosphate
CPD-18048	tobramycin 2''-phosphate
CPD-18049	dibekacin 2''-phosphate
CPD-18050	arbekacin 2''-phosphate
CPD-18051	amikacin 2''-phosphate
CPD-18052	sisomicin 2''-phosphate
CPD-18053	netilmycin 2''-phosphate
CPD-18062	CMP-8-amino-3,8-dideoxy-&alpha;-D-<i>manno</i>-octulosonate
CPD-18063	8-amino-3,8-dideoxy-&alpha;-D-<i>manno</i>-octulosonate
CPD-18064	3,8-dideoxy-8-oxo-&alpha;-D-manno-octulosonate
CPD-18065	&alpha;-Kdo8N-(2&rarr;6)-lipid IV<sub>A</sub>
CPD-18066	4-<i>O</i>-phospho-&alpha;-Kdo8N-(2&rarr;6)-lipid IV<sub>A</sub>
CPD-18072	20-deoxo-20-dihydro-12,13-deepoxyrosamicin
CPD-18073	20-deoxo-20-dihydrorosamicin
CPD-18105	4-methylphenyl ribotide phosphate
CPD-18120	caffealdehyde
CPD-18126	(2E,4Z,5E)-2-hydroxy-7-oxo-(2-oxoethylidene)hepta-2,5-dienoate
CPD-18131	(2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate
CPD-18164	dTDP-4-acetyl-D-ravidosamine
CPD-18172	16-hydroxyphytanate
CPD-18175	15-methyl-palmitate
CPD-18176	16-hydroxy-15-methyl-palmitate
CPD-18177	(2E,6E,10E)-2,6,10-trimethyldodeca-2,6,10-triene-1,12-diol
CPD-18178	(2E,6E,10E,14E)-2,6,10,14-tetramethylhexadeca-2,6,10,14-tetraene-1,16-diol
CPD-18179	(2E,6E,10E)-12-hydroxy-3,7,11-trimethyldodeca-2,6,10-trien-1-yl phosphonatooxyphosphonate
CPD-18194	&omega;-hydroxy-&beta;-dihydromenaquinone-9
CPD-18196	&omega;-sulfo-&beta;-dihydromenaquinone-9
CPD-18198	dithioholothin
CPD-18199	dithioholomycin
CPD-18201	(5E)-3-imino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one
CPD-18202	(5E)-3-amino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one
CPD-18203	4-amino-2-(methanethioyl)-5-oxo-3-sulfanylpyrrolidine-2-carboxylate
CPD-18224	nocamycin I
CPD-18229	(2S,3S,7R)-2,3-diamino-8-(1-carbamoyl-2-iminoimidazolidin-4-yl)-7-hydroxyoctanoate
CPD-18237	zwittermicin A
CPD-18238	carboxyphosphate
CPD-18239	(2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoate
CPD-18251	&beta;-ureidoalanine
CPD-18253	pyruvoyl-L-leucyl-L-methionine
CPD-18258	proto-zwittermicin A
CPD-1826	heteropyrithiamine
CPD-18260	prenylated FMNH<sub>2</sub>
CPD-18264	proto-zwittermicin A-L-alanyl-[PKS]
CPD-1827	<i>cis</i>-geranyl-CoA
CPD-1828	GDP-&alpha;-D-mannuronate
CPD-1829	cob(II)alamin
CPD-18290	4-hydroxy-3-methylbenzaldehyde
CPD-18291	4-hydroxy-3-methylbenzoate
CPD-18294	4-hydroxyisophthalate
CPD-183	gallate
CPD-18309	<i>N</i>-(<i>R,R</i>)-3-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-L-valine
CPD-18312	<i>N</i>-3-fumaramoyl-L-2,3-diaminopropanoate
CPD-18313	<i>N</i>-3-fumaramoyl-(S)-2,3-diaminopropanoyl-adenylate
CPD-18319	<i>N</i>-3-(<i>R,R</i>)-epoxysuccinamoyl-(S)-2,3-diaminopropanoate
CPD-18320	5-methylbenzimidazole
CPD-18321	5-methoxybenzimidazole
CPD-18327	(-)-indolactam V
CPD-18328	lyngbyatoxin A
CPD-18331	lyngbyatoxin B
CPD-18332	lyngbyatoxin C
CPD-18333	<i>N</i>-methyl-L-valyl-L-tryptophanol
CPD-18334	2-carboxy-1,4-naphthoquinone
CPD-18346	<i>cis</i>-vaccenoyl-CoA
CPD-18348	1-<i>cis</i>-vaccenoyl-<i>sn</i>-glycerol-3-phosphate
CPD-18350	1-palmitoyl-2-palmitoleoyl-<i>sn</i>-glycerol 3-phosphate
CPD-18351	1-cis-vaccenoyl-2-palmitoleoyl-<i>sn</i>-glycerol-3-phosphate
CPD-18379	1-myristoyl-<i>sn</i>-glycerol 3-phosphate
CPD-18380	1-myristoyl-2-palmitoleoyl-<i>sn</i>-glycerol 3-phosphate
CPD-18390	1-palmitoyl-2-myristoyl phosphatidate
CPD-184	2-pyrone-4,6-dicarboxylate
CPD-18432	chondrochloren A
CPD-18433	chondrochloren B
CPD-18434	1'-carboxy-chondrochloren B
CPD-18435	1'-carboxy-chondrochloren A
CPD-18436	pyridin-1-ium-3-thioamide-5-thiocarboxylate mononucleotide Ni pincer complex
CPD-18437	3-hydroxy-4-methyl-anthranilate pentapeptide lactone
CPD-18438	3-hydroxy-4-methyl-D-kynurenine
CPD-18443	3-hydroxy-D-kynurenine
CPD-18447	actinocin
CPD-18448	3-hydroxy-4-methylanthranilyl-adenylate
CPD-18452	cylindrospermopsin
CPD-18453	5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulosonate
CPD-18456	2,4-diacetamido-2,4,6-trideoxy-&beta;-L-gulopyranose
CPD-18458	UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-L-gulopyranose
CPD-18460	UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-L-idopyranose
CPD-18462	UDP-4-amino-4,6-dideoxy-<em>N</em>-acetyl-&beta;-<small>L</small>-idosamine
CPD-18464	CMP-5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulosonate
CPD-18495	5-methoxy-6-methylbenzimidazole
CPD-18497	5-hydroxybenzimidazole
CPD-18499	magnesium hydrogenphosphate
CPD-18500	calcium hydrogenphosphate
CPD-18501	zinc hydrogenphosphate
CPD-18508	hydroxysqualene
CPD-18530	echinomycin
CPD-18532	(R)-&beta;-hydroxy-L-kynurenine
CPD-18533	3-hydroxyquinaldate
CPD-18534	quinoxaline-2-carboxylate
CPD-18536	3-hydroxykynurenate
CPD-18537	(2S,3R)-2-[(2-aminophenyl)amino]-3-carboxy-3-hydroxypropanoate
CPD-18538	(S)-&beta;-hydroxy-L-tryptophan
CPD-18539	(R)-<i>N</i>-formyl-&beta;-hydroxy-L-kynurenine
CPD-18541	triostin A
CPD-18544	(3R)-4-(2-aminophenyl)-3-hydroxy-2,4-dioxobutanoate
CPD-18545	(2S,3R)-2-[(2-aminophenyl)amino]-3-carboxy-3-oxopropanoate
CPD-18549	triostin A dithiol
CPD-18550	quinoxaline-2-carboxyl adenylate
CPD-18559	3-hydroxyquinaldate adenylate
CPD-18561	phenazin-1-ol
CPD-18562	2-palmitoyl-trehalose
CPD-18569	C30 mycocerosate
CPD-18578	C35-phenolphthiocerol A
CPD-18580	C32-phthiocerol A
CPD-18587	<i>N</i>-acetyldemethylphosphinothricin adenylate
CPD-18588	(L-alanyl)adenylate
CPD-18589	<i>N</i>-acetyldemethylphosphinothricyl-L-alanyl-L-leucine
CPD-18590	<i>N</i>-acetylphosphinothricyl-L-alanyl-L-leucine
CPD-18600	sulfolipid-2
CPD-18613	C31-phthiotriol
CPD-18617	p-HBAD-I
CPD-18619	p-HBAD-II
CPD-18623	17-(4-hydroxyphenyl)heptadecanoate
CPD-18627	C31-phthiodiolone A
CPD-18629	C33-phthiodiolone A
CPD-18630	C33-phthiotriol A
CPD-18633	C34-phthiocerol A
CPD-18635	(2Z,4E)-4-hydroxy-6-oxohexa-2,4-dienoate
CPD-18636	C31-phthiodiolenone A
CPD-18637	C33-phthiodiolenone A
CPD-18644	26-amino-furostanol
CPD-18645	furostanol-26-aldehyde
CPD-18654	C34-phenolphthiotriol A
CPD-18655	C34-phenolphthiodiolone A
CPD-18657	19-(4-hydroxyphenyl)nonadecanoate
CPD-18660	C36-phenolphthiodiolenone A
CPD-18665	C95-dimycocerosyl phenolphthiocerol
CPD-18670	C35-phenolcarboxyphthiodiolenone
CPD-18671	C37-phenolcarboxyphthiodiolenone
CPD-18672	C34-carboxyphthiodiolenone
CPD-18685	<i>O</i>-methyl-4-<i>O</i>-[2,4-di-<i>O</i>-methyl-&alpha;-L-fucopyranosyl-(1&rarr;3)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl]-hydroxybenzoate
