12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
TOLUENE-DEG-CATECHOL-PWY	toluene degradation to benzoate
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol)
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)
TREHALOSESYN-PWY	trehalose biosynthesis III
TRESYN-PWY	trehalose biosynthesis I
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis
TRNA-CHARGING-PWY	tRNA charging
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)
TRPKYNCAT-PWY	L-tryptophan degradation IV (via indole-3-lactate)
TRPSYN-PWY	L-tryptophan biosynthesis
TYRFUMCAT-PWY	L-tyrosine degradation I
TYRSYN	L-tyrosine biosynthesis I
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
VALDEG-PWY	L-valine degradation I
VALSYN-PWY	L-valine biosynthesis
