1-AMINO-PROPAN-2-OL	C[C@@H](O)C[N+]
7-O-PHOSPHOHYGROMYCIN-B	C(OP([O-])([O-])=O)[C@@H]([N+])C4(OC2(O[C@@H]3([C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]1([C@H](O)[C@H](C[C@@H]([N+])[C@H](O)1)[N+]C))[C@@H](O2)3))[C@@H](O)[C@H](O)[C@H](O)4)
ACET	CC([O-])=O
ACETALD	C[CH]=O
ACETAMIDE	CC(=O)N
ACETOACETYL-COA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
ACETOL	CC(=O)CO
ACETONE	CC(=O)C
ACETYL-COA	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP([O-])(=O)O[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(C)=O)
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP([O-])(=O)O[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](NC(=O)C)2))O)NC(C)=O)
ACETYL-GLU	CC(=O)N[C@H](C([O-])=O)CCC(=O)[O-]
ACETYL-P	CC(OP([O-])(=O)[O-])=O
ACETYLSERINE	CC(OC[C@H]([N+])C(=O)[O-])=O
ACRYLATE	C=CC([O-])=O
ACRYLYL-COA	C=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
ACTINOMYCIN-D	CC(C)[C@H]1(C(=O)N7([C@@H](C(N(C)CC(N([C@@H](C(C)C)C(=O)O[C@H](C)[C@@H](C(N1)=O)NC(=O)C6(\C=CC(/C)=C2(C(/N=C3(C(\O2)=C(C)/C(=O)C(/N)=C3/C(=O)N[C@@H]5([C@H](OC([C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@H]4(CCCN4C([C@@H](C(C)C)NC(=O)5)=O))=O)C)))=6)))C)=O)=O)CCC7))
ADENINE	C2(N)(N=CN=C1(NC=NC/1=2))
ADENOSINE	C(O)[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=NC3(C(N)=NC=NC2=3)))
ADENOSINE5TRIPHOSPHO5ADENOSINE	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]6([C@H]([C@H]([C@H](N4(C5(N=CN=C(C(N=C4)=5)N)))O6)O)O)
ADENOSINE_DIPHOSPHATE_RIBOSE	C(OP(OP([O-])(=O)OC[C@H]1([C@@H](O)[C@@H](O)C(O1)O))(=O)[O-])[C@H]4([C@H]([C@H]([C@H](N2(C3(N=CN=C(C(N=C2)=3)N)))O4)O)O)
ADENOSYL-HOMO-CYS	C(SC[C@H]3([C@@H](O)[C@@H](O)[C@H](N1(C2(N=CN=C(N)C(N=C1)=2)))O3))C[C@@H](C([O-])=O)[N+]
ADENOSYL-P4	C([C@H]1([C@H]([C@H]([C@@H](O1)N2(C=NC3(C(=NC=NC2=3)N)))O)O))OP(OP(OP(OP(OC[C@H]4([C@H]([C@H]([C@@H](O4)N5(C=NC6(C(=NC=NC5=6)N)))O)O))([O-])=O)([O-])=O)([O-])=O)([O-])=O
ADENOSYLCOBALAMIN	CC%15(/C=C%13(C(\N%12([C@@H]%14(O[C@H](CO)[C@@H](OP([O-])(=O)O[C@@H](C)CNC(=O)CC[C@]1([C@@H](CC(N)=O)[C@H]2([C@@]4(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C3(C(\C)=C6([C@@](CC(=O)N)([C@H](CCC(N)=O)C5(C=C8(C(C)(C)[C@H](CCC(N)=O)C7(C(\C)=C1/N2[Co---]([N+]=34)([N+]=56)([N+]=78)(C[C@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(C=NC%11(/C%10=NC=NC(/N)=%11)))O))[N+](=C%12)%13))))C)))))(C))[C@@H](O)%14)))=C/C(\C)=%15))
ADENOSYLCOBALAMIN-5-P	CC%15(/C=C%13(C(\N%12([C@@H]%14(O[C@H](COP([O-])(=O)[O-])[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@@]1([C@@H](CC(N)=O)[C@H]2([C@@]4(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C3(C(\C)=C8([C@@](CC(=O)N)([C@H](CCC(N)=O)C7(C=C6(C(C)(C)[C@H](CCC(N)=O)C5(C(\C)=C1/N2[Co---]([N+]=34)([N+]=56)([N+]=78)(C[C@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(C=NC%11(/C%10=NC=NC(/N)=%11)))O))[N+](=C%12)%13))))C)))))(C))[C@@H](O)%14)))=C/C(\C)=%15))
ADENOSYLCOBINAMIDE	C[C@@H](O)CNC(=O)CC[C@]2(C)([C@@H](CC(=O)N)[C@H]4([C@@]%11(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C7(=[N+]([Co--]35([N+]1(C(\C(C)(C)[C@H](CCC(N)=O)C=1C(\C)=C2/N34)=C/C6([C@@H](CCC(N)=O)[C@](C)(CC(N)=O)C(/[N+]5=6)=C(C)/7)))(C[C@H]8([C@H]([C@@H](O)[C@@H](O8)N9(C=NC%10(C(=NC=NC9=%10)N)))O)))%11))))
ADENOSYLCOBINAMIDE-GDP	C[C@@H](OP([O-])(=O)OP(=O)([O-])OC[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=NC3(C(=O)NC(N)=NC2=3))))CNC(=O)CC[C@]8(C)([C@@H](CC(=O)N)[C@H]%10([C@@]%14(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C%13(=[N+]([Co--]9%11(C[C@H]6([C@@H](O)[C@H]([C@H](N4(C=NC5(C(N)=NC=NC4=5)))O6)O))([N+]7(C(\C(C)(C)[C@H](CCC(N)=O)C=7C(\C)=C8/N9%10)=C/C%12([C@@H](CCC(N)=O)[C@](C)(CC(N)=O)C(/[N+]%11=%12)=C(C)/%13))))%14))))
ADENOSYLCOBINAMIDE-P	C[C@@H](OP([O-])(=O)[O-])CNC(=O)CC[C@]2(C)([C@@H](CC(=O)N)[C@H]4([C@@]%11(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C7(=[N+]([Co--]35([N+]1(C(\C(C)(C)[C@H](CCC(N)=O)C=1C(\C)=C2/N34)=C/C6([C@@H](CCC(N)=O)[C@](C)(CC(N)=O)C(/[N+]5=6)=C(C)/7)))(C[C@H]8([C@H]([C@@H](O)[C@@H](O8)N9(C=NC%10(C(=NC=NC9=%10)N)))O)))%11))))
ADENYLOSUCC	C(OP(=O)([O-])[O-])[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=NC3(C(=NC=NC2=3)NC(CC(=O)[O-])C(=O)[O-])))
ADIPATE	C(CC([O-])=O)CCC(=O)[O-]
ADP	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))OP(OP(=O)([O-])[O-])([O-])=O
ADP-D-GLUCOSE	C([C@H]1([C@H]([C@@H]([C@H]([C@H](O1)OP(OP(OC[C@H]4([C@H]([C@H]([C@H](N2(C3(N=CN=C(C(N=C2)=3)N)))O4)O)O))(=O)[O-])(=O)[O-])O)O)O))O
ADP-L-GLYCERO-D-MANNO-HEPTOSE	C([C@@H]([C@@H]4(O[C@@H](OP(OP(OC[C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))([O-])=O)(=O)[O-])[C@H]([C@H]([C@@H]4O)O)O))O)O
AEROBACTIN	CC(=O)N(CCCC[C@H](NC(CC(O)(C(=O)[O-])CC(=O)N[C@H](C(=O)[O-])CCCCN(C(C)=O)O)=O)C([O-])=O)O
AG+	[Ag+]
AGMATHINE	C(CCC[N+])NC(=[N+])N
AICAR	C(OP(=O)([O-])[O-])[C@H]1([C@@H](O)[C@@H](O)[C@@H](O1)N2(C=NC(\C(=O)N)=C(N)/2))
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
ALLYSINE	[CH](=O)CCC[C@H]([N+])C(=O)[O-]
ALPHA-D-GALACTOSE	C(O)[C@@H]1(O[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)1)
ALPHA-D-MANNOSYL-3-PHOSPHOGLYCERATE	C(OP([O-])(=O)[O-])[C@@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1))C(=O)[O-]
ALPHA-GLUCOSE	C(O)[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)
ALPHA-GLUCOSE-16-BISPHOSPHATE	C(OP([O-])(=O)[O-])[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)OP(=O)([O-])[O-])
ALPHA-MALTOSE	C([C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)))O
ALPHA-RIBAZOLE	CC1(/C(\C)=C/C2(/N(C=NC(\C=1)=2)[C@H]3([C@H](O)[C@H](O)[C@@H](CO)O3)))
ALPHA-RIBAZOLE-5-P	CC1(/C(\C)=C/C2(/N(C=NC(\C=1)=2)[C@H]3([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O3)))
ALPHA-TOCOPHEROL	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)(CCC2(/C(\O1)=C(C)/C(/C)=C(C(\C)=2)/O))
ALPHAALPHA-TREHALOSE-66-BISMYCOLATE	CCCCCCCCCCCCCCCCCCCCCCCCCCC([C@H](O)CCCCCCCCCCCCCCCC2(CC(CCCCCCCCCCC1(CC(CCCCCCCCCCCCCCCCCC)1))2))C(=O)OC[C@@H]3(O[C@@H]([C@@H]([C@H]([C@@H]3O)O)O)O[C@H]4([C@@H]([C@H]([C@@H]([C@H](O4)CCCCCCCCCCCCCCCCCCCCCCCCCCCC([C@H](O)CCCCCCCCCCCCCCCC6(CC(CCCCCCCCCCC5(CC(CCCCCCCCCCCCCCCCCC)5))6))C(=O)O)O)O)O))
AMIDINOPROCLAVAMINATE	C1(CCN([C@@H]([C@@H](CCNC(N)=[N+])O)C(=O)[O-])1)=O
AMINO-HYDROXYMETHYL-METHYL-PYR-P	CC1(N=CC(\COP(=O)([O-])[O-])=C(N)/N=1)
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	CC1(N=C(N)C(\COP(OP([O-])([O-])=O)([O-])=O)=C/N=1)
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	C(O)C1(=NC2(/C(=O)NC(N)=NC(/NC1)=2))
AMINO-OXOBUT	CC(=O)[C@H]([N+])C([O-])=O
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	C(NC1(NC(NC(=O)C(N)=1)=O))[C@H](O)[C@H](O)[C@H](O)CO
AMINOHYDROQUINONE	C1(\C=C(O)C(\N)=C/C(\O)=1)
AMMONIA	[NH3]
AMMONIUM	[NH4+]
AMP	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))OP([O-])([O-])=O
ANDROST4ENE	C[C@]34(CCC(=O)C=C(CC[C@H]1([C@H](CC[C@]2(C)(C(CC[C@@H]12)=O))3))4)
ANHYDROTETRACYCLINE	CC3(/C4(C=CC=C(O)C(C(/O)=C1(C(\C[C@@H]2([C@@](C1=O)(O)C(=O)C(/C(=O)N)=C([C@@H]([N+](C)C)2)/[O-]))=3))=4))
ANTHRANILATE	C(C1(/C(\N)=C/C=CC=1))(=O)[O-]
ANTIMONITE	[O-][Sb]([O-])[O-]
APS	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))OP(OS(=O)([O-])=O)([O-])=O
ARACHIDIC_ACID	CCCCCCCCCCCCCCCCCCCC(=O)[O-]
ARG	C(NC(N)=[N+])CC[C@H]([N+])C(=O)[O-]
ARSENATE	[As](=O)(O)([O-])[O-]
ASCORBATE	C(O)[C@H](O)[C@H]1(C(/[O-])=C(C(=O)O1)/O)
ASN	C(C[C@@H](C(=O)[O-])[N+])(N)=O
ATABRINE	CC[N+](CCCC(NC2(/C3(C(\[N+]=C1(C=CC(\OC)=C/C\1=2))=C/C(\Cl)=C/C=3)))C)CC
ATP	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-]
ATRAZINE	CCNC1(=NC(Cl)=NC(=N1)NC(C)C)
Alpha-lactose	C([C@@H]1(O[C@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@H]2([C@@H](CO)O[C@@H]([C@@H]([C@H]2O)O)O)))O
B-ALANINE	C(C[N+])C([O-])=O
BA+2	[Ba++]
BACIMETHRIN	C1(\N=C(N=C(N)C(\CO)=1)OC)
BENZALDEHYDE	C(=O)C1(/C=CC=CC=1)
BENZENE	C1(/C=CC=CC=1)
BENZIMIDAZOLE	C1(=NC2(/C(\N1)=C/C=CC=2))
BENZOATE	C(C1(/C=CC=CC=1))([O-])=O
BENZOYL-ACETATE	C([O-])(=O)CC(=O)C1(/C=CC=CC=1)
BENZOYLCOA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1(/C=CC=CC=1))COP(=O)(OP(=O)(OC[C@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(N=CN=C(C(N=C3)=4)N))))[O-])[O-]
BENZYL-ALCOHOL	C(C1(/C=CC=CC=1))O
BETA-D-FRUCTOSE	C(O)[C@@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O)
BETA-D-MANNOSYLPHOSPHODECAPRENOL	CC(C)=CCCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O)1)
BETA-D-XYLOSE	C1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
BETA-HCH	[C@H]1(Cl)([C@@H](Cl)[C@@H]([C@@H](Cl)[C@@H]([C@H]1Cl)Cl)Cl)
BETA-TOCOPHEROL	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)(CCC2(/C(\O1)=C(C)/C=C(C(\C)=2)O))
BETAINE	C[N+](C)(CC([O-])=O)C
BETAINE-ALDEHYDE-HYDRATE	C[N+](C)(CC(O)O)C
BETAINE_ALDEHYDE	C[N+](C)(C[CH]=O)C
BIFURCOSE	C(O)[C@H]1([C@H]([C@H](O)[C@@H](O)[C@H](O1)O[C@@]2(O[C@@H]([C@@H](O)[C@H](O)2)CO[C@]3(O[C@@H]([C@H]([C@@H]3O)O)CO)CO)(CO[C@]4(O[C@@H]([C@H]([C@@H]4O)O)CO)CO))O)
BILIRUBIN	C=CC1(/C(/NC(C(\C)=1)=O)=C/C4(/NC(\CC3(/NC(\C=C2(C(\C)=C(C=C)/C(=O)N2))=C(C)/C(\CCC([O-])=O)=3))=C(CCC([O-])=O)/C(\C)=4))
BILIVERDINE	C=CC1(/C(/NC(C(\C)=1)=O)=C/C4(/NC(\C=C2(C(\CCC(=O)[O-])=C(C)/C(=N2)C=C3(C(\C)=C(C=C)/C(=O)N3)))=C(CCC(=O)[O-])/C(\C)=4))
BIO-5-AMP	C([C@H]3([C@H]([C@H]([C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O)O))OP([O-])(=O)OC(=O)CCCC[C@H]4(SC[C@H]5(NC(=O)N[C@H]45))
BIOTIN	C1(S[C@@H](CCCCC(=O)[O-])[C@@H]2(NC(=O)N[C@@H]12))
BIPHENYL-23-DIOL	C2(/C=CC(\C1(/C(/O)=C(C=CC=1)/O))=C/C=2)
BIS-GAMMA-GLUTAMYLCYSTINE	C(SSC[C@@H](C([O-])=O)NC(=O)CC[C@H]([N+])C([O-])=O)[C@@H](C([O-])=O)NC(=O)CC[C@H]([N+])C([O-])=O
BIS-GERANYLGERANYLGLYCEROL-PHOSPHATE	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COC[C@@H](COP([O-])([O-])=O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
BISOHMYR-GLC	CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1([C@@H](O[C@H](CO)[C@H]([C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC)O)OC[C@H]2([C@@H](O)[C@H](OC(C[C@H](O)CCCCCCCCCCC)=O)[C@@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OP([O-])([O-])=O)O2)))O
BISOHMYR-GLUCOSAMINYL-1P	CCCCCCCCCCC[C@H](CC(N[C@H]1([C@H]([C@@H]([C@H](O[C@@H]1OP([O-])(=O)[O-])CO)O)OC(C[C@@H](CCCCCCCCCCC)O)=O))=O)O
BR-	[Br-]
BROMOACETATE	C(Br)C([O-])=O
BUTANAL	CCC[CH]=O
BUTANOL	CCCCO
BUTHIONINE-SULFOXIMINE	CCCCS(=O)(=N)CC[C@H]([N+])C(=O)[O-]
BUTYRIC_ACID	CCCC(=O)[O-]
BUTYRYL-COA	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(N=CN=C(N)C(N=C2)=3))))[O-])[O-]
C-DI-GMP	C1([C@H]7([C@@H](OP([O-])(=O)OC[C@H]4([C@@H](OP([O-])(=O)O1)[C@@H](O)[C@H](N2(C3(N=C(N)NC(=O)C(N=C2)=3)))O4))[C@@H](O)[C@H](N5(C6(N=C(N)NC(=O)C(N=C5)=6)))O7))
C1	C[C@H](C(=O)N[C@H](C)C([O-])=O)NC(=O)[C@H](CCC[C@@H]([N+])C(=O)[O-])NC(=O)CC[C@H](C(=O)[O-])NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1([C@H](O)[C@@H](CO)O[C@@H]([C@H](NC(=O)C)1)OP([O-])(=O)OP([O-])(=O)OC[C@H]2([C@@H](O)[C@@H](O)[C@@H](O2)N3(C=CC(=O)NC(=O)3)))
C3	C[C@H](C(=O)N[C@@H](C([O-])=O)C)NC(=O)[C@H](CCCC[N+])NC(=O)CC[C@H](C(=O)[O-])NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1([C@H](O)[C@@H](CO)O[C@@H]([C@H](NC(=O)C)1)OP(OP(OC[C@@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(C=CC(=O)NC(=O)3)))([O-])=O)([O-])=O)
C4	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(OP(=O)([O-])O[C@H]1([C@H](NC(C)=O)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCCC[N+])C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O)[C@@H](CO)O1))([O-])=O
C5	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)O[C@H]1([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([N+])C(=O)[O-])C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O)[C@@H](CO)O1))([O-])=O
C55-PP-GLCNAC-MANNACA	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])O[C@@H]2(O[C@H](CO)[C@@H](O[C@H]1(O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H](NC(C)=O)1))[C@H](O)[C@@H](NC(C)=O)2)
C55-PP-GLCNAC-MANNACA-FUC4NAC	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(=O)([O-])OP(=O)([O-])O[C@@H]3(O[C@H](CO)[C@@H](O[C@H]2(O[C@H](C(=O)[O-])[C@@H](O[C@@H]1(O[C@H](C)[C@H](NC(C)=O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](NC(C)=O)2))[C@H](O)[C@@H](NC(C)=O)3)
C6	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP([O-])(=O)OP([O-])(=O)O[C@H]2([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@H]([N+])C([O-])=O)C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(C)=O)1))[C@@H](CO)O2)
CA+2	[Ca++]
CADAVERINE	C([N+])CCCC[N+]
CAFFEOYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C=CC1(C=C(O)C(\O)=C/C=1))COP(=O)(OP(=O)(OC[C@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(N=CN=C(C(N=C3)=4)N))))[O-])[O-]
CAMP	C3(OP(=O)([O-])O[C@@H]4([C@@H](O)[C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O[C@H]34))
CANAVANINE	C(C[C@H]([N+])C(=O)[O-])ONC(=[N+])N
CARBAMATE	C(=O)([O-])N
CARBAMOYL-P	C(=O)(N)OP(=O)([O-])[O-]
CARBAMYUL-L-ASPARTATE	C(=O)([O-])C[C@H](NC(N)=O)C([O-])=O
CARBON-DIOXIDE	C(=O)=O
CARBON-MONOXIDE	[C-]#[O+]
CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL	C(CCC1(/[C@H](O)[C@H](O)C=CC=1))(=O)[O-]
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P	C(OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)C(=O)CNC1(\C=CC=CC(/C(=O)[O-])=1)
CARNITINE	C([C@H](O)CC(=O)[O-])[N+](C)(C)C
CATECHOL	C1(/C=CC(/O)=C(C=1)/O)
CD+2	[Cd++]
CDP	C([C@H]2([C@H]([C@H]([C@H](N1(C(N=C(C=C1)N)=O))O2)O)O))OP(OP([O-])([O-])=O)([O-])=O
CDP-36-DIDEOXY-D-MANNOSE	C[C@@H]3(O[C@H](OP([O-])(=O)OP(OC[C@H]2([C@H]([C@H]([C@H](N1(C(N=C(C=C1)N)=O))O2)O)O))([O-])=O)[C@H](O)C[C@H](O)3)
CDP-CHOLINE	C[N+](C)(C)CCOP([O-])(=O)OP([O-])(=O)OC[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=CC(=NC2=O)N))
CDP-D-GLUCOSE	C([C@@H]3(O[C@H](OP(OP(OC[C@H]2([C@H]([C@H]([C@H](N1(C(N=C(C=C1)N)=O))O2)O)O))([O-])=O)([O-])=O)[C@@H]([C@H]([C@@H]3O)O)O))O
CELLOBIOSE	C([C@H]2([C@H]([C@@H]([C@H]([C@H](O[C@H]1([C@H](O[C@H]([C@@H]([C@H]1O)O)O)CO))O2)O)O)O))O
CH33ADO	C[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=NC3(C(N)=NC=NC2=3)))
CH4	C
CHALCONE-CMPD	C2(/C=CC(C=CC(=O)C1(/C=CC=CC=1))=CC=2)
CHLORALAN-CPD	C(Cl)[C@H]([N+])C([O-])=O
CHLORAMPHENICOL	C(O)[C@@H](NC(=O)C(Cl)Cl)[C@@H](C1(/C=CC(\[N+](=O)[O-])=C/C=1))O
CHLOROHYDROQUINONE	C1(/C(\O)=C/C(/Cl)=C(C=1)/O)
CHLOROPHYLL-A	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C8(=N(.[Mg]25(.N1(=C(C(\CC)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C7(C(/N56)=C([C@@H-](C(OC)=O)C(=O)7)/8)))))9))))
CHLOROPHYLL-B	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)OCC=C(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C8(=N(.[Mg]25(.N1(=C(C(/CC)=C(C/1=C/C(/N23)=4)/C=O)C=C6(C(/C)=C7(C(/N56)=C([C@@H](C(OC)=O)C(=O)7)/8)))))9))))
CHLOROPHYLLIDE-A	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)[O-])C8(=N(.[Mg]25(.N1(=C(C(\CC)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C7(C(/N56)=C([C@@H-](C(OC)=O)C(=O)7)/8)))))9))))
CHOLATE	C[C@H](CCC(=O)[O-])[C@@H]2(CC[C@@H]3([C@H]4([C@H](O)C[C@H]1(C[C@H](O)CC[C@@](C)1[C@@H](C[C@H](O)[C@](C)23)4))))
