1-2-Diglycerides	a 1,2-diglyceride
LysW-L-lysine	a [lysine-biosynthesis-protein LysW]-C-terminal-&gamma;-(L-lysyl)-L-glutamate
LysW-L-ornithine	a [lysine-biosynthesis-protein LysW]-C-terminal-&gamma;-(L-ornithyl)-L-glutamate
Lysidine-tRNA-Ile2	a lysidine<sup>34</sup> in tRNA<sup>Ile2</sup>
Lysine-or-DAP	an L-lysine or <i>meso</i>-2,6-diaminoheptanedioate
Lyso-Form-Lipoprotein-Cysteine	an <i>N</i>-acyl-[lipoprotein]-(<i>S</i>-acylglyceryl)-L-cysteine
Lyso-Glycosphingolipids	a lyso-glycosphingolipid
Lysophosphatidylglycerols	a lyso-phosphatidylglycerol
MALONYL-ACP	a malonyl-[acp]
MALTOOLIGOSYLTREHALOSE	a maltooligosyl-trehalose
MALTOSE	maltose
MANDELATE-DEG	Mandelate Degradation
MANNOSE	D-mannose
MAS	a holo-[mycocerosic acid synthase]
MDO-D-Glucoses	an osmoregulated periplasmic glucan
MEP-Pathways	Methylerythritol Phosphate Pathways
METHANOGENESIS	Methanogenesis
METHIONINE-DEG	L-methionine Degradation
METHIONYL-PEPTIDE	an N-terminal L-methionyl-[protein]
METHYL-MTAC	a [methyl-Co(III) methanol-specific corrinoid protein]
METHYLENE-THF-GLU-N	a 5,10-methylenetetrahydrofolate
MISCELLANEOUS-DEG	Other Amino Acid Degradation
MMPA-Product-ACP	(5R,7S,8R,10E,12R,13S)-5,7,13-trihydroxy-8,12-dimethyl-3-oxotetradec-10-enoyl-[acp]
MOCS3-L-cysteine	a [MOCS3 protein]-L-cysteine
MOCS3-S-sulfanylcysteine	a [MOCS3]-<i>S</i>-sulfanylcysteine
MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
MPHPV	&alpha;-(2-methoxyphenoxy)-&beta;-hydroxypropiovanillone
MPT-Synthase-small-subunits	a small subunit of molybdopterin synthase
MTAC	a [Co(I) methanol-specific corrinoid protein]
MTR-1P-Degradation	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation
Macrolide-Antibiotics	a macrolide antibiotic
Macrolides	a macrolide
Macrolides-Biosynthesis	Macrolide Antibiotic Biosynthesis
Macromolecule-Modification	Macromolecule Modification
Malonamoyl-OxyC	malonamoyl-[OxyC acyl-carrier protein]
Malonate-Decarboxylases-Acetyl-Form	an acetyl-[<i>holo</i> malonate decarboxylase acyl-carrier protein]
Malonate-Decarboxylases-Malonyl-Form	a malonyl-[<i>holo</i> malonate decarboxylase acyl-carrier protein]
Malonate-Degradation	Malonate Degradation
Malonyl-BryP-ACP	a malonyl-[BryP acyl-carrier protein]
Malonyl-BryU-ACP	a malonyl-[BryU acyl-carrier protein]
Malonyl-PedD	a malonyl-[PedD acyl-carrier protein]
Malonyl-PedN-ACP	a malonyl[PedN acyl-carrier protein]
Malonyl-acp-methyl-ester	a malonyl-[acp] methyl ester
Maltodextrins	a maltodextrin
Maltose-phosphates	a maltose phosphate
Manganese-Oxidation	Manganese Oxidation
Mannosyl-mycolates	a mannosyl-mycolate
Mannosylglucosylglycerate-Biosynthesis	Mannosylglucosylglycerate Biosynthesis
Mannosylglycerate-Biosynthesis	Mannosylglycerate Biosynthesis
Marinolic-Acids	a marinolic acid
Marinoloyl-Coa	a marinoloyl-CoA
Medium-Chain-234-Saturated-Fatty-Acids	a medium-chain 2,3,4-saturated fatty acid
Medium-Chain-234-Saturated-acyl-CoAs	a medium-chain 2,3,4-saturated fatty acyl CoA
Medium-Chain-3-Hydroxyacyl-CoAs	a medium-chain (3<i>R</i>)-3-hydroxyacyl-CoA
Medium-Chain-3-oxo-ACPs	a medium-chain 3-oxoacyl-[acp]
Medium-Chain-3S-Hydroxyacyl-CoAs	a medium-chain (3<i>S</i>)-3-hydroxyacyl-CoA
Medium-Chain-Acyl-CoAs	a medium-chain acyl-CoA
Medium-Chain-Aldehydes	a medium-chain aldehyde
Medium-Chain-Alkanes	a medium-chain alkane
Medium-Chain-Primary-Alcohols	a medium-chain primary alcohol
Medium-Chain-oxoacyl-CoAs	a medium-chain oxoacyl-CoA
Menaquinols	a menaquinol
Menaquinone-Biosynthesis	Menaquinol Biosynthesis
Menaquinones	a menaquinone
Mercapturates	a mercapturate
Mercury-Detoxification	Mercury Detoxification
Metabolic-Clusters	Metabolic Clusters
Metabolic-Regulators	Metabolic Regulator Biosynthesis
Metal-Ions	a metal cation
Methane-Oxidation	methane oxidation to methanol
Methanol-Oxidation	Methanol Oxidation
Methanopterines-and-derivatives	methanopterin and derivatives
Methionine-De-novo-Biosynthesis	L-methionine <i>De Novo</i> Biosynthesis
Methionine-Salvage	L-methionine Salvage
Methyl-Branched-Fatty-Acids	a methyl-branched fatty acid
Methyl-Branched-Lipids	a methyl-branched lipid
Methyl-Citrate-Cycle	2-Methylcitrate Cycle
Methyl-esterified-homogalacturonan	a methyl-esterified homogalacturonan
Methylamine-Degradation	Methylamine Degradation
Methylated-Amino-Acids	a methylated amino acid
Methylated-MtbC-Proteins	a [methyl-Co(III) dimethylamine-specific corrinoid protein]
Methylated-MtmC-Proteins	a [methyl-Co(III) methylamine-specific corrinoid protein]
Methylated-MtsB-Proteins	a [methyl-Co(III) methanethiol-specific corrinoid protein]
Methylated-MttC-Proteins	a [methyl-Co(III) trimethylamine-specific corrinoid protein]
Methylated-Ribosomal-Protein-L11s	a methylated ribosomal protein L11
Methylated-corrinoid-Fe-S-Proteins	a [methyl-Co(III) corrinoid Fe-S protein]
Methylated-methyl-acceptors	a methylated methyl donor
Methylcobamides	a methylcobamide
Methylglyoxal-Detoxification	Methylglyoxal Detoxification
Methylketones	a methyl ketone
Methylmalonyl-CoA	methylmalonyl-CoA
Methylphenols	a methylphenol
Methylphosphonate-Degradation	Methylphosphonate Degradation
Methylthioadenosine-Degradation	<i>S</i>-methyl-5'-thioadenosine Degradation
Methylthiopropionate-Degradation	Methylthiopropanoate Degradation
Mevalonate-Pathways	Mevalonate Pathways
Minor-Teichoic-Bacillus-peptidoglycan	a peptidoglycan-minor wall teichoic acid complex (<i>B. subtilis</i> 168)
Mithramycin-Intermediate-I	6-[5-hydroxy-3-oxo-2-(3,5,7-trioxooctanoyl)phenyl]-3,5-dioxohexanoyl-[PKS-acp]
MmpE-Product	(2E,5S,6S,7R,8R)-5,6,7-trihydroxy-9-{3-[(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl}-3,8-dimethylnon-2-enoyl-[acp]
Mnm5Se2U-containing-tRNAs	a 5-methylaminomethyl-2-selenouridine in tRNA
Mo-molybdopterin-cofactor	a W/Mo-pterin cofactor
Modified-Amino-Acids	a modified amino acid
Modified-Bases	a modified nucleobase
Modified-Inositols	a modified inositol
Modified-Nucleosides	a modified nucleoside
Modified-Nucleotides	a modified nucleotide
Modified-Peptides	a modified peptide
Modified-Sugars	a modified sugar
Modified-Uridines	a modified uridine
Molybdenum-Cofactor-Biosynthesis	Molybdenum Cofactor Biosynthesis
Mono-Rhamnolipids	a mono-rhamnolipid
Mono-trans-poly-cis-polyprenyl-PP	a mono-<i>trans</i>, poly-<i>cis</i>-polyisoprenyl diphosphate
Monobranched-Heptadecenoyl-BryB-PKS	a (5S,6E,11E,13S,15R,16R)-5,13,15,16-tetrahydroxy-11-(2-methoxy-2-oxoethylidene)-8,8-dimethyl-3,9-dioxoheptadec-6-enoyl-[BryB polyketide synthase]
Monocarboxylates	a monocarboxylate
Monocarboxylic-Acid-Amides	a monocarboxylic acid amide
Monosaccharides	a monosaccharide
Monoterpenals	a monoterpenal
Monoterpene-Derivatives	a monoterpenoid derivative
Monoterpenes	a monoterpenoid
Monoterpenols	a monoterpenol
Monoterpenyl-Diphosphates	a monoterpenyl diphosphate
Monounsaturated-fatty-acids	a monounsaturated fatty acid
Monovalent-Inorganic-Cations	a monovalent inorganic cation
MtbC-Proteins	a [Co(I) dimethylamine-specific corrinoid protein]
MtmC-Proteins	a [Co(I) methylamine-specific corrinoid protein]
MtsB-Proteins	a [Co(I) methanethiol-specific corrinoid protein]
MttC-Proteins	a [Co(I) trimethylamine-specific corrinoid protein]
MupA-Product	(5S,6S,7R,8R,10E,12R,13S)-5,6,7,13-tetrahydroxy-8,12-dimethyl-3-oxotetradec-10-enoyl-[acp]
MupH-Product	(5S,6S,7R,8R,10E,12R,13S)-3-(carboxymethyl)-3,5,6,7,13-pentahydroxy-8,12-dimethyltetradec-10-enoyl-[acp]
MupJ-Product	(2Z,5S,6S,7R,8R,10E,12R,13S)-3-(carboxymethyl)-5,6,7,13-tetrahydroxy-8,12-dimethyltetradeca-2,10-dienoyl-[acp]
MupK-Product	(2E,5S,6S,7R,8R,10E,12R,13S)-5,6,7,13-tetrahydroxy-3,8,12-trimethyltetradeca-2,10-dienoyl-[acp]
MupW-Product	(2E)-3-methyl-4-[(2S,3R,4S,5R)-3,4,5-trihydroxy-5-({3-[(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl}methyl)oxan-2-yl]but-2-enoyl-[acp]
Mycobacterial-Arabinogalactans	a mycobacterial arabinogalactan
Mycolipenyl-CoA	a mycolipenoyl-CoA
Mycolyl-Arabinogalactan	a mycolyl-arabinogalactan complex
Mycoredoxin-L-cysteine	a [mycoredoxin]-L-cysteine
Mycothiol-mycoredoxin-mixed-disulfides	a [mycoredoxin] mycothiolyl-S-S-L-cysteine disulfide
Myo-inositol-bisphosphates	a <i>myo</i>-inositol bisphosphate
Myo-inositol-monophosphates	a <i>myo</i>-inositol monophosphate
Myo-inositol-tetra-kis-phosphates	a <i>myo</i>-inositol tetrakisphosphate
Myristoyl-ACPs	a myristoyl-[acp]
N-3-epoxysuccinamoyl-DAP-DdaD	an <i>N</i>-3-(<i>R,R</i>)-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase]
N-ACETYL-D-GLUCOSAMINE-6-P	<i>N</i>-acetyl-D-glucosamine 6-phosphate
N-ACETYL-O-ACETYLNEURAMINATE	<i>N</i>-acetyl-<i>O</i>-acetylneuraminate
N-ACETYLNEURAMINATE	<i>N</i>-acetylneuraminate
N-ACYL-L-AMINO-ACID	an <i>N</i>-acylated-L-amino acid
N-Acetyl-Amino-Acids	an <i>N</i>-acetyl L-amino acid
N-Acetyl-beta-D-Hexosaminides	an <i>N</i>-acetyl-&beta;-D-hexosaminide
N-Acetylglucosamine-Degradation	<i>N</i>-acetylglucosamine degradation
N-Acylated-Aliphatic-Amino-Acids	an <i>N</i>-acylated aliphatic-L-amino acid
N-Acylated-Amino-Acids	an <i>N</i>-acylated amino acid
N-Acylsphingosine	a sphingosine ceramide
N-Alpha-Acetylated-Amino-Acids	an N<SUP>&alpha;</SUP>-acetylated amino acid
N-Alpha-Methyl-L-Amino-Acids	an <i>N</i><sup>&alpha;</sup>-methyl L-amino acid
N-Carbamoyl-L-Amino-Acids	an <i>N</i>-carbamoyl-L-amino acid
N-Glycoprotein-M-voltae	a [<i>M. voltae</i> glycoprotein]-L-asparagine-[trisaccharide]
N-Methyl-L-Amino-Acids	an <i>N</i>-methyl L-amino acid
N-Substituted-Amino-Acids	an <i>N</i>-modified amino acid
N-Substituted-Aminoacyl-tRNA	an <i>N</i>-modified aminoacyl-[tRNA]
N-acetyl-D-galactosamine	<i>N</i>-acetyl-D-galactosamine
N-acetyl-D-glucosamine	<i>N</i>-acetyl-D-glucosamine
N-acetyl-D-hexosamines	an <i>N</i>-acetyl-D-hexosamine
N-acetyl-D-mannosamine	<i>N</i>-acetyl-D-mannosamine
N-acetyl-a-D-hexosamine-1-phosphates	an <i>N</i>-acetyl-&alpha;-D-hexosamine 1-phosphate
N-acetyl-alpha-D-hexosamines	an N-acetyl-&alpha;-D-hexosamine
N-acetyl-beta-D-hexosamines	an <i>N</i>-acetyl-&beta;-D-hexosamine
N-acetylarylamines	an <i>N</i>-acetylarylamine
N-alpha-Acylated-L-Amino-Acids	an <i>N</i>-&alpha;-acylated L-amino acid
N-desmethyl-pyochelin-PchF	<i>N</i>-desmethyl-pyochelin-[PchF non-ribosomal peptide synthase]
N-formyl-L-methionyl-tRNAfmet	an <i>N</i>-formyl-L-methionyl-[initiator tRNA<SUP>met</SUP>]
N-gamma-Acylated-L-Amino-Acids	an <i>N</i>-&gamma;-acylated L-amino acid
N-homo-methionine	an L-polyhomomethionine
N-hydroxylated-Amino-Acids	an <i>N</i>-hydroxylated L-amino acid
N-methylated-Amino-Acids	an <i>N</i>-methylated amino acid
N-pentasaccharide-protein-H-volcanii	an [<i>H. volcanii</i> glycoprotein]-L-asparagine-[pentasaccharide]
N-sulfo-D-glucosamine	<i>N</i>-sulfo-D-glucosamine
N-terminal-L-Serine	an N-terminal L-seryl-[protein]
N-terminal-L-alanine	an N-terminal L-alanyl-[protein]
N-terminal-L-cysteine	an N-terminal L-cysteinyl-[protein]
N-terminal-L-leucyl-L-aspartyl-Protein	a [protein] N-terminal L-leucyl-L-aspartate
N-terminal-L-leucyl-L-glutamyl-Protein	a [protein] N-terminal L-leucyl-L-glutamate
N-terminal-glycine	an N-terminal glycyl-[protein]
N-tetrasaccharide-protein-H-volcanii	an [<i>H. volcanii</i> glycoprotein]-L-asparagine-[tetrasaccharide]
N1-methylguanine2535-in-23S-rRNA	an <i>N</i><sup>1</sup>-methylguanine<sup>2535</sup> in 23S rRNA
N3-fumaramoyl-DAP-DdaD	an <i>N</i>-3-fumaramoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase]
N5-Formyl-THF-Glu-N	a (6<i>S</i>)-5-formyltetrahydrofolate
N6-Alkylaminopurine	an <i>N</i><SUP>6</SUP>-alkylaminopurine
N6-L-threonylcarbamoyladenine37-tRNAs	an <i>N</i><sup>6</sup>-L-threonylcarbamoyladenine<sup>37</sup> in tRNA
N6-O-disulfo-D-glucosamine	<i>N</i>,6-<i>O</i>-disulfo-D-glucosamine
N6-Pup-gamma-L-glutamyl-protein-L-lysine	N6-([prokaryotic ubiquitin-like protein]-&gamma;-L-glutamyl)-[protein]-L-lysine
N6-met-threonylcarbamoyl-A37-tRNAs	an <i>N</i><sup>6</sup>-methyl-threonylcarbamoyladenosine 37 in tRNA
NACMUR	<i>N</i>-acetyl-D-muramate
NAD-Metabolism	NAD Metabolism
NAD-P-OR-NOP	NAD(P)<sup>+</sup>
NAD-SYN	NAD Biosynthesis
NADH-P-OR-NOP	NAD(P)H
NADHX	NADHX
NADPHX	NADPHX
NAN-MANNACs-degradation	<i>N</i>-Acetylneuraminate and <i>N</i>-Acetylmannosamine Degradation
NAcMur-4Peptide-NAcGlc-Undecaprenols	a <i>N</i>-acetylglucosamine--<i>N</i>-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol
NAcMur-Peptide-NAcGlc-Undecaprenols	a lipid II
NAcMur-Peptide-Undecaprenols	a <i>N</i>-acetylmuramoyl-pentapeptide-diphosphoundecaprenol
NDP-34-didehydro-26-dideoxy-D-glucose	an NDP-3,4-didehydro-2,6-dideoxy-&alpha;-D-glucose
NDP-4-dehydro-26-dideoxy-D-glucose	an NDP-4-dehydro-2,6-dideoxy-&alpha;-D-glucose
NDP-4-dehydro-6-deoxy-D-glucose	an NDP-4-dehydro-6-deoxy-&alpha;-D-glucose
NDP-alpha-D-glucoses	an NDP-&alpha;-D-glucose
NDP-glucoses	a nucleoside diphosphate-glucose
NITROGEN-DEG	Nitrogen Compound Metabolism
NNN-Trimethyl-Ornithine-Lipid	an <i>N</i>,<i>N</i>,<i>N</i>-trimethylornithine lipid
NUCLEO-DEG	Nucleoside and Nucleotide Degradation
Naphthalene-Degradation	Naphthalene Degradation
Naphthomycins	a naphthomycins
Negatively-charged-polar-amino-acids	a negatively-charged polar amino acid
Negatively-super-coiled-DNAs	a negatively supercoiled DNA
Neoagaro-oligosaccharides	a neoagaro-oligosaccharide
Neomycins	a neomycin
Neutral-Amino-Acids	a neutral amino acid
Nicotinamide-Mononucleotides	a nicotinamide mononucleotide
Nicotinate-Degradation	Nicotinate Degradation
Nicotine-Degradation	Nicotine Degradation
NifB-with-K-cluster	a NifB protein with a K-cluster
NifB-with-L-cluster	a NifB protein with an L-cluster
NifEN-L-clutser	a NifEN protein complex containing an L-cluster
NifEN-M-cluster	a NifEN protein complex containing an M-cluster
Nitrate-Reduction	Nitrate Reduction
Nitric-Oxide-Biosynthesis	Nitric Oxide Biosynthesis
Nitriles	a nitrile
Nitro-Toluene-Degradation	Nitrotoluene Degradation
Nitroaromatic-Compounds	a nitroaromatic compound
Nitroaromatic-Degradation	Nitroaromatic Compound Degradation
Nitrobenzene-Degradation	Nitrobenzene Degradation
Nitrobenzoate-Degradation	Nitrobenzoate Degradation
Nitrophenol-Degradation	Nitrophenol Degradation
Nocardicins	a nocardicin
Non-Glucosylated-Glucose-Acceptors	a non glucosylated D-glucose acceptor
Non-Metabolic-Compounds	a non-metabolic compound
Non-Rhamonsylated-Rhamnosyl-Acceptors	a non rhamnosylated rhamnosyl acceptor
Non-alpha-amino-acids	a non-&alpha; amino acid
Non-branched-alkenes	a <i>cis</i>-alkene
Non-polar-amino-acids	a non-polar amino acid
Non-ribosomal-peptide-synthetases	a non-ribosomal peptide synthase
Non-standard-amino-acids	a non-proteinogenic &alpha;-amino acid
Nonadeca-Dienoyl-BryC-PKS	a (2E,5Z,7S,8E,13E,15S,17R,18R)-7,15,17,18-tetrahydroxy-5,13-bis(2-methoxy-2-oxoethylidene)-10,10-dimethyl-11-oxononadeca-2,8-dienoyl-[BryC PKS]
Nonaketamide-OxyC	nonaketamide-[OxyC acyl-carrier protein]
Nonaketide-Ansatrienin-PKS	nonaketide-[ansatrienin PKS]
Nonaoxoicosanoyl-ACPs	3,5,7,9,11,13,15,17,19-nonaoxoicosanoyl-[PKS-acp]
Nonmethylated-Ribosomal-Protein-L11s	a non-methylated ribosomal protein L11
NovH-proteins	a NovH peptidyl-carrier protein
Nucleic-Acid-Processing	Nucleic Acid Processing
Nucleobase-analogues	a nucleobase analogue
Nucleoside-3-5-bisphosphate	a nucleoside 3',5'-bisphosphate
Nucleoside-Diphosphates	a nucleoside diphosphate
Nucleoside-Diphosphocholines	a nucleoside diphosphocholine
Nucleoside-Monophosphates	a nucleoside 5'-monophosphate
Nucleoside-Triphosphates	a nucleoside triphosphate
Nucleosides	a nucleoside
Nucleosides-Analogues	a nucleoside analog
O-Acetylated-Amino-Acids	an <i>O</i>-acetylated amino acid
O-Antigen-Biosynthesis	<i>O</i>-Antigen Biosynthesis
O-Methylated-Amino-Acids	an <i>O</i>-methylated amino acid
O-acetyl-ADP-riboses	an <i>O</i>-acetyl-ADP-ribose
O-phospho-L-seryl-tRNASecs	an <i>O</i>-phospho-L-seryl-[tRNA<sup>Sec</sup>]
OH-ACYL-ACP	a (3<i>R</i>)-3-hydroxyacyl-[acyl-carrier protein]
OLIGOPEPTIDES	an oligopeptide
OMEGA-HYDROXY-FATTY-ACID	an &omega;-hydroxy fatty acid
ORGANOSULFUR	an organosulfur compound
ORNITHINE-LIPIDS	an ornithine lipid
OTHER-ENERGY	Other
Octadec-2-enoyl-ACPs	a (2<i>E</i>)-octadec-2-enoyl-[acp]
Octanoyl-ACPs	an octanoyl-[acp]
Octanoylated-Gcv-H	a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-octanoyl-L-lysine
Octanoylated-domains	a [lipoyl-carrier protein] <i>N<sup>6</sup></i>-octanoyl-L-lysine
Odd-Straight-Chain-234-Sat-FA	an odd numbered straight chain 2,3,4-saturated fatty acid
Odd-Straight-Chain-234-Sat-FALD	an odd numbered straight chain 2,3,4-saturated fatty aldehyde
Oleate-Biosynthesis	Oleate Biosynthesis
Olefins-Biosynthesis	Olefin Biosynthesis
Oleoyl-ACPs	an oleoyl-[acp]
Oligosaccharides	an oligosaccharide
Oligosaccharides-Biosynthesis	Oligosaccharide Biosynthesis
Omega-3-Fatty-Acids	a &omega;-3 fatty acid
Omega-6-Fatty-Acids	a &omega;-6 fatty acid
Omega-9-Fatty-Acids	an &omega;-9 fatty acid
Omega-Hydroxy-Me-Branched-Lipids	an &omega;-hydroxy-methyl-branched lipid
Omega-Hydroxy-Short-Chain-Fatty-Acid	an &omega;-hydroxy short-chain fatty acid
Organic-Anions	an organic anion
Organic-Salts	an organic salt
Organic-heterobicyclic-compounds	an organic heterobicyclic compound
Organic-heteroptetracyclic-compounds	an organic heterotetracyclic compound
Organic-solutes-Biosynthesis	Organic Solute Biosynthesis
Organo-Sulfates	an organosulfate
Organoiodine-Compounds	an organoiodine compound
Organometallics	an organometallic compound
Organonitrogen-Heterocyclic-Compounds	an organonitrogen heterocyclic compound
Organophosphonates	an organophosphonate
Organophosphorus-Compounds	an organophosphorus compound
Oryzalexins	an oryzalexin
Other-Amino-Acid-Biosynthesis	Other Amino Acid Biosynthesis
Other-Degradation	Degradation/Utilization/Assimilation - Other
Other-biosynthesis	Other Biosynthesis
Ox-Glutaredoxins	an oxidized glutaredoxin
Ox-Hybrid-Cluster-Proteins	an oxidized hybrid-cluster protein
Ox-NADPH-Hemoprotein-Reductases	an oxidized [NADPH-hemoprotein reductase]
Ox-Thioredoxin	an oxidized thioredoxin
Ox-thioredoxins-1	an oxidized thioredoxin 1
Oxalate-Degradation	Oxalate Degradation
Oxidized-2Fe-2S-Ferredoxins	an oxidized [2Fe-2S] ferredoxin
Oxidized-Azurins	an oxidized azurin
Oxidized-Cyc1-cytochromes	an oxidized Cyc1 cytochrome
Oxidized-Disulfide-Carrier-Proteins	a [disulfide-bond carrier protein] carrying a disulfide bond
Oxidized-Factor-F420	an oxidized coenzyme F<sub>420</sub>
Oxidized-Flavins	an oxidized flavin
Oxidized-Flavoproteins	an [oxidized flavoprotein]
Oxidized-Hydrogenases	an oxidized hydrogenase
Oxidized-Polyvinyl-Alcohol	oxidized polyvinyl alcohol<sub>(n)</sub>
Oxidized-Putidaredoxins	an oxidized putidaredoxin [iron-sulfur] cluster
Oxidized-Rubredoxins	an oxidized rubredoxin
Oxidized-Rusticyanins	an oxidized rusticyanin
Oxidized-ferredoxins	an oxidized ferredoxin [iron-sulfur] cluster
Oxidized-flavodoxins	an oxidized flavodoxin
Oxidized-hydrogenase-3	an oxidized hydrogenase 3
Oxo-Fatty-Acids	an oxo fatty acid
Oxo-glutarate-dehydrogenase-lipoyl	a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine
OxyC	an OxyC acyl-carrier protein
OxyC-monocyclic	nonaketamide monocyclic intermediate-[OxyC acyl-carrier protein]
OxyC-tricyclic	nonaketamide tricyclic intermediate-[OxyC acyl-carrier protein]
Oxygen-Substituted-Quinates	a oxygen substituted quinate
P1P4-BIS5-NUCLEOSYL-TETRAPHOSPHATE	P1,P4-bis(5'-nucleosyl) tetraphosphate
PBDEs	a polybrominated diphenyl ether
PECTATE	a pectate
PENICILLIN	a penicillin
PENTOSE-1-PHOSPHATES	a pentose 1-phosphate
PENTOSE-5-PHOSPHATES	a pentose 5-phosphate
PHE-tRNAs	a tRNA<SUP>Phe</SUP>
PHENYLALANINE-DEG	L-phenylalanine Degradation
PHENYLALANINE-SYN	L-phenylalanine Biosynthesis
PHENYLPROPANOID-DERIVATIVE-DEG	Phenylpropanoid Derivative Degradation
PHENYLPROPANOID-SYN	Phenylpropanoid Derivative Biosynthesis
PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA	a 1-phosphatidyl-1D-<i>myo</i>-inositol 4,5-bisphosphate
PHOSPHATIDYLCHOLINE	a phosphatidylcholine
PKS15-1	a <i>holo</i>-[4-hydroxyphenylalkanoate synthase]
PKS2	a holo-[(hydroxy)phthioceranic acid synthase]
PLANT-CELL-STRUCTURE	Plant Cell Structures
PLASTOQUINONE	a plastoquinone
PNP-Modified-Glycosides	a <i>p</i>-nitrophenyl-modified glycoside
POLY-GLUCOSYLATED-GLYCOGENINS	a glucosylated glycogenin
POLY-OH-DEC-N	a poly[(<i>R</i>)-3-hydroxydecanoate]
POLYKETIDE	a polyketide
POLYKETIDE-SYN	Polyketide Biosynthesis
POLYPRENYLPHOSPHATE-GLUCOSE	&beta;-D-glucosyl polyprenyl phosphate
POLYSACCHARIDES-DEG	Polysaccharide Degradation
POLYVINYL-ALCOHOL	polyvinyl alcohol<sub>(n)</sub>
PRENYLFLAVONOID-SYN	Prenylflavonoid Biosynthesis
PROLINE-DEG	L-proline Degradation
PROLINE-SYN	L-proline Biosynthesis
PROT-CYS	a [protein]-L-cysteine
PROTEIN-L-BETA-ISOASPARTATES	a [protein]-L-&beta;-isoaspartate
PROTEIN-L-BETA-ISOSPARTATE-METHYL-ESTERS	a protein L-&beta;-isoaspartate &alpha;-methyl ester
PROTEIN-LIPOYLLYSINE	a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine
PROTEIN-N-SAMP-LYSINE	an <i>N<sup>6</sup></i>-SAMP-[protein]-L-lysine
PROTEIN-N-UBIQUITYL-LYSINE	a [protein]-<i>N<sup>6</sup></i>-monoubiquitinyl-L-lysine
PUFA-Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
PYL-tRNA	a tRNA<SUP>Pyl</SUP>
PYRROLIDINE-ALKALOIDS	Pyrrolidine, Piperidine and Pyridine Alkaloid Biosynthesis
Palmitate-Biosynthesis	Palmitate Biosynthesis
Palmitoleate-Biosynthesis	Palmitoleate Biosynthesis
Palmitoleoyl-ACPs	a palmitoleoyl-[acp]
Palmitoyl-ACPs	a palmitoyl-[acp]
Palmitoyl-PKS2	a palmitoyl-[(hydroxy)phthioceranic acid synthase]
Pantothenate-Biosynthesis	Phosphopantothenate Biosynthesis
Paromamine-Biosynthesis	Paromamine Biosynthesis
PchE	a [PchE non-ribosomal peptide synthase]
PchF	a [PchF non-ribosomal peptide synthase protein]
Pectin	a pectin
Pectin-Degradation	Pectin Degradation
PedD-ACP	a <i>holo</i> [PedD acyl-carrier protein]
PedF-PKS	a <i>holo</i> [PedF polyketide synthase]
PedF-intermediate-3	a (3S)-3-hydroxy-4-[(4R,6S)-4-hydroxy-6-({2-[(2R,5R,6R)-2-hydroxy-5,6-dimethyl-4-methylideneoxan-2-yl]acetamido}methyl)-3,3-dimethyloxan-2-yl]butanoyl-[PedF polyketide synthase]
PedI-intermediate-1	(4S,5R)-5-hydroxy-4-methyl-3-oxohexanoyl-[PedI polyketide synthase]
PedI-intermediate-2	3-hydroxy-3-[(2S,3R)-3-hydroxybutan-2-yl]pentanedioyl-[PedI polyketide synthase]
PedI-intermediate-3	(2E)-3-[(2R,3R)-3-hydroxybutan-2-yl]pent-2-enedioyl-[PedI polyketide synthase]
PedN-ACP	a <i>holo</i> [PedN acyl-carrier protein]
Pederins	a pederin family compound
Pentahydroxyflavones	a pentahydroxyflavone
Pentapeptides	a pentapeptide
Pentasaccharides	a pentasaccharide
Pentitols	a pentitol
Pentose-Phosphate-Cycle	Pentose Phosphate Pathways
Pentoses	a pentose
Peptide-Holder-Alternative	a peptide
Peptide-with-C-terminal-Lysine-Arginine	a peptide with lysine-arginine at the C-terminal
Peptide-with-C-terminal-Lysine-Lysine	a peptide with L-lysine-L-lysine at the C-terminal
Peptide-with-N-terminal-Alanine	a peptide with an N-terminal L-alanine
Peptides-holder	a peptide
Peptides-with-Leader-Sequence	a peptide with a leader sequence
Peptides-with-Lys-Arg-bond	a peptide with an internal L-Lys-L-Arg motif
Peptides-with-Lys-Lys-bond	a peptide with an internal Lys-Lys bond
Peptidoglycan-Biosynthesis	Peptidoglycan Biosynthesis
Peptidoglycan-Cross-Bridge-Biosynthesis	Peptidoglycan Cross-Bridge Biosynthesis
Peptidoglycan-DD-crosslinks	a peptidoglycan with D,D crosslinks
Peptidoglycan-dimer	a peptidoglycan dimer (generic)
